area,name,taxable_income_million_yen,income_taxpayers,fiscal_year
05000,秋田県,1148565.0,407053.0,2022
05201,秋田市,436951.0,140456.0,2022
05202,能代市,57865.0,20700.0,2022
05203,横手市,93678.0,34905.0,2022
05204,大館市,82214.0,30220.0,2022
05206,男鹿市,24129.0,9446.0,2022
05207,湯沢市,42591.0,16691.0,2022
05209,鹿角市,30735.0,11917.0,2022
05210,由利本荘市,87215.0,31489.0,2022
05211,潟上市,35515.0,13619.0,2022
05212,大仙市,86188.0,32037.0,2022
05213,北秋田市,30718.0,11799.0,2022
05214,にかほ市,29398.0,10166.0,2022
05215,仙北市,23788.0,9478.0,2022
05303,小坂町,5060.0,1877.0,2022
05327,上小阿仁村,1727.0,763.0,2022
05346,藤里町,2351.0,1035.0,2022
05348,三種町,14390.0,5832.0,2022
05349,八峰町,6225.0,2446.0,2022
05361,五城目町,8040.0,3189.0,2022
05363,八郎潟町,5374.0,2081.0,2022
05366,井川町,4373.0,1659.0,2022
05368,大潟村,6461.0,1716.0,2022
05434,美郷町,18157.0,7276.0,2022
05463,羽後町,13156.0,5290.0,2022
05464,東成瀬村,2266.0,966.0,2022
06000,山形県,1393011.0,481267.0,2022
06201,山形市,379618.0,116117.0,2022
06202,米沢市,103281.0,36052.0,2022
06203,鶴岡市,156218.0,55802.0,2022
06204,酒田市,127659.0,45333.0,2022
06205,新庄市,43015.0,15250.0,2022
06206,寒河江市,52572.0,18802.0,2022
06207,上山市,32917.0,12617.0,2022
06208,村山市,26310.0,9536.0,2022
06209,長井市,32945.0,11962.0,2022
06210,天童市,82811.0,28524.0,2022
06211,東根市,65351.0,22610.0,2022
06212,尾花沢市,16274.0,5905.0,2022
06213,南陽市,38678.0,13673.0,2022
06301,山辺町,16943.0,6182.0,2022
06302,中山町,13363.0,4934.0,2022
06321,河北町,21449.0,7857.0,2022
06322,西川町,5150.0,1985.0,2022
06323,朝日町,6180.0,2402.0,2022
06324,大江町,8359.0,3210.0,2022
06341,大石田町,7009.0,2621.0,2022
06361,金山町,5196.0,2065.0,2022
06362,最上町,9034.0,3178.0,2022
